No.,Arcs,Manga Chapters,# of Ch.,Anime Episodes,Episodes Adapted,Filler Episodes,# of Pace Ep.,Piece Minutes,Pace Minutes,Saved Minutes,Saved %,Audio Languages,Sub Languages,Pixeldrain only,Resolution,Arc Watch Guide: Pace + Original
1,Romance Dawn,1 - 7,7,"1 - 4, 19",5,,4,105,76,29,27.62%,"Jpn,Eng,Es, De","Eng,Es,Fr,De,Ar,Pt,Pl,Eng CC",,1080p,Pace
2,Orange Town,8 - 21,14,4 - 8,5,,3,105,79,26,24.76%,"Jpn,Eng, Es, De ","Eng,Es,Fr,Ar,Pt,De",Pt,1080p,Pace
3,Syrup Village,23 - 41,19,9 - 17,9,,7,189,150,39,20.63%,"Jpn, Eng (1-6), Es (1-6)","Eng,Es,Fr,De","Es, Fr",1080p,Pace
4,Gaimon,"42,22",2,18,1,,1,21,18,3,14.29%,"Jpn,Eng,Es","Eng,Es,Fr, De",,1080p,Pace
5,Baratie,42 - 68,27,19 - 30,12,,8,252,176,76,30.16%,"Jpn,Eng","Eng,Es, Fr (3-9), De (1-6)",Fr  (1-2),1080p,Pace
6,Arlong Park,69 - 95,27,31 - 44,14,,10,294,231,63,21.43%,"Jpn,Eng","Eng,Es, Fr, De (1-5)",Fr ,"480p,1080p",Pace
6.5,The Adventures of Buggy's Crew,35 - 75,,46 - 47,2,,1,42,20,22,52.38%,"Jpn,Eng","Eng,Es, Fr",De,1080p,Pace
7,Loguetown,96 - 100,5,"45, 48 - 53",6,51,3,126,89,37,29.37%,"Jpn,Eng","Eng,Es, Fr ",Fr,480p,Pace
8,Reverse Mountain,101 - 105,5,"55, 61 - 63",4,56 - 60,2,84,49,35,41.67%,"Jpn,Eng","Eng,Es , Fr ",De,1080p,Pace
9,Whisky Peak (TBR),106 - 114,9,64 - 67,4,,2,84,67,17,20.24%,Jpn,"Eng, Es , Fr ","Es, Fr",480p,Pace
9.5,The Trials of Koby-Meppo,83-119,,68 - 69,2,,1,42,13,29,69.05%,"Jpn,Eng","Eng, Fr, Es ",Es,1080p,Pace
10,Little Garden,115 - 129,15,70 - 78,9,,5,189,133,56,29.63%,"Jpn,Eng","Eng,Es,Fr,Ar,De,It ",,1080p,Pace
11,Drum Island,129 - 154,26,78 - 91,14,,8,294,230,64,21.77%,"Jpn,Eng","Eng,Es,Fr",,1080p,Pace
12,Arabasta,155 - 217,63,92 - 130,40,"99, 102",21,840,555,285,33.93%,"Jpn,Eng","Eng,Es, Fr ",Fr,1080p,Pace
13,Jaya,218 - 236,19,144 - 152,9,,8,189,161,28,14.81%,"Jpn,Eng","Eng, Es, Fr",,1080p,Pace
14,Skypiea,237 - 303,66,"153 - 195, 203",44,,25,924,726,198,21.43%,"Jpn,Eng","Eng,Es (1-4), Fr, Es (5), De (17-)","Es (5),De",1080p,Pace
15,Long Ring Long Land (TBR),304 - 321,19,"207 - 219, 226 - 228",14,213 - 215,7,294,154,140,47.62%,"Jpn,Eng",Eng,Eng,720p,Pace
16,Water Seven,322 - 374,53,229 - 263,37,,20,777,549,228,29.34%,"Jpn,Eng","Eng,Fr ",Fr,1080p,Pace
17,Enies Lobby,375 - 430,56,263 - 312,45,"291 - 292, 303",25,945,588,357,37.78%,"Jpn,Eng (23-25)","Eng, Es , Fr ",Fr,"720p,1080p",Pace
18,Post-Enies Lobby (TBR),431 - 441,11,313 - 325,11,317 - 318,5,236,133,103,43.64%,Jpn,Eng,Eng,720p,Pace
19,Thriller Bark (TBR),442 - 489,48,337 - 381,45,,22,967,484,483,49.95%,Jpn,"Eng, Es","Eng, Es",720p,Pace
20,Sabaody Archipelago (TBR),490 - 513,24,385 - 405,21,,11,451,285,166,36.81%,Jpn,"Eng, Es ",Es,720p,Pace
21,Amazon Lily (TBR),514 - 524,11,408 - 421,14,,5,301,132,169,56.15%,Jpn,"Eng, Es , Fr ","Es, Fr",720p,Pace
22,Impel Down (TBR),525 - 548,24,422 - 452,27,426 - 429,10,580,317,263,45.34%,Jpn,"Eng,Es ",Es,720p,Pace
22.5,The Adventures of the Straw Hats,543 - 560,,453 - 456,4,,1,86,21,65,75.58%,"Eng, Es, Jpn","Eng, Es, Jpn",,1080p,Pace
23,Marineford,549 - 580,32,457 - 489,33,,17,709,395,314,44.29%,Jpn,"Eng,Es,Fr ",Fr,720p,Pace
24,Post-War,581 - 597,17,490 - 516,26,"492, 499, 506",8,559,306,253,45.26%,"Jpn,Eng (1-6)","Eng,Es ,Fr ","Es,Fr",1080p,Pace
25,Return to Sabaody,598 - 602,5,517 - 522,6,,3,129,91,38,29.46%,"Jpn,Eng","Eng,Es,Fr,Ar",,1080p,Pace
26,Fishman Island (TBR),603 - 653,51,523 - 574,51,542,24,1096,710,386,35.22%,Jpn,"Eng,Es ",Es,720p,Pace
27,Punk Hazard (TBR),654 - 699,46,"579 - 626, 628",46,590,22,989,519,470,47.52%,Jpn,"Eng,Es",,720p,Pace
28,Dressrosa (TBR),700 - 800,101,629 - 746,118,,48,2537,1206,1331,52.46%,Jpn,"Eng,Es ",Es,720p,Pace
29,Zou (TBR),801 - 822,22,751 - 776,28,775,10,602,275,327,54.32%,Jpn,"Eng,Es, Fr ",Fr,720p,Pace
30,Whole Cake Island,823 - 902,80,777 - 877,95,780 - 782,39,2042,1213,829,40.60%,Jpn,"Eng,Es, Fr ",Fr,720p,Pace
31,Reverie,903 - 908,6,878 - 889,12,,3,258,94,164,63.57%,"Jpn,Eng","Eng,Es,Fr",,1080p,Pace
32,Wano (WIP),909 - 1057,149,890 - 1085,136,"895-896, 1029 - 1030, 1084",61,2992,1926,1066,35.63%,"Jpn,Eng (1-3, 31-)","Eng,Es ,Fr,Ar, De (44-)","Es,Fr, Ar",1080p,Pace Episodes 1-61 then Original Episodes 1033 - 1085
33,Egghead (WIP),1058 - 1125,68,1086 - 1155,40,,21,840,623,217,25.83%,"Jpn, Eng (1-12, 17-18)","Eng,Fr,De (3-)","De (1,2)",1080p,Pace Episodes 1-21 then Original Episodes 1129-
,Totals,,1125,,977,28,465,20848.5,12353,8511.5,40.83%,,,,,Watch order that combines pace and filler for those interested
WIP = Work In Progress - these arcs are actively being worked on,,,,,↑ the above is total episodes adapted by Pace,,,,,,,,,,,
"TBR = To Be Redone - while they are completely fine to watch now, these arcs will be redone at some point so there's no need to point out errors",,,,,,,,,,,,,,,,
